Date,SPY,QQQ,IWM,EFA,VNQ,RF,Mkt-RF,SMB,HML
2022-01-03,0.005119,0.013823,0.003712,0.002774,0.009892,0.000159,0.003884,-0.002431,-0.006547
2022-01-04,-0.00406,-0.006976,-0.002823,-0.014159,-0.00995,0.000159,-0.004908,0.000365,-0.001091
2022-01-05,-0.009222,-0.018007,-2.8e-05,-0.007043,-0.015483,0.000159,-0.008279,0.002776,0.005459
2022-01-06,-0.004772,-0.003823,-0.009211,-0.006978,0.006843,0.000159,-0.004114,-0.000829,0.001366
2022-01-07,0.000272,-0.005889,0.002574,-0.010253,-1.2e-05,0.000159,-0.000177,0.0004,0.003191
2022-01-10,0.007415,0.007727,-0.002387,-0.000628,0.010107,0.000159,0.00794,-0.007511,-0.003567
2022-01-11,0.003664,0.002162,0.000119,0.005643,0.009409,0.000159,0.003779,-0.000889,-0.000116
2022-01-12,-0.007573,-0.004412,-0.010284,-0.007418,-0.017415,0.000159,-0.006531,-0.004223,-0.003714
2022-01-13,0.008119,0.015367,0.009555,0.003053,0.01869,0.000159,0.00802,-0.000957,-0.000546
2022-01-14,6e-05,0.004706,-0.001464,-0.003211,-0.016223,0.000159,0.000721,-0.004976,-0.003026
2022-01-17,-0.001687,-0.004399,-0.006176,-0.004568,0.000492,0.000159,0.000268,-0.005092,-0.001087
2022-01-18,-0.004633,-0.000615,-0.009299,-0.006463,-0.016977,0.000159,-0.004313,-0.001976,-0.001548
2022-01-19,0.003213,0.002954,-0.006059,-0.002028,-0.006661,0.000159,0.003094,-0.008565,-0.001176
2022-01-20,-0.001132,-0.000294,0.001346,0.000152,-0.000341,0.000159,-0.000713,-0.001723,0.002632
2022-01-21,0.000972,0.003514,-0.000397,-0.006294,0.00636,0.000159,0.000521,-0.000689,-0.002486
2022-01-24,0.007915,0.002587,0.012722,0.020372,0.006737,0.000159,0.009666,0.001317,-0.000667
2022-01-25,0.001347,0.001948,-0.006145,0.001291,0.009115,0.000159,0.001332,0.000238,-0.004546
2022-01-26,-0.007041,-0.014644,-0.004736,0.002735,-0.002751,0.000159,-0.007418,0.00482,0.00298
2022-01-27,0.002869,-0.002662,0.005326,0.003784,0.006536,0.000159,0.002042,-0.000507,0.001088
2022-01-28,-0.00606,-0.010736,0.006216,0.000789,0.004093,0.000159,-0.005341,0.007253,-0.000987
2022-01-31,-0.008859,-0.014514,-0.002079,-0.002583,0.010732,0.000159,-0.008324,0.004889,0.00464
2022-02-01,-0.001931,-0.006487,-0.002469,-0.000229,0.004209,0.000159,-0.002488,-0.001464,0.003157
2022-02-02,0.000524,0.01459,0.003529,-0.003717,0.003243,0.000159,0.000826,-0.001488,-0.005683
2022-02-03,-0.001723,-0.002139,-0.007169,-0.011061,0.001832,0.000159,-0.003088,-0.002748,0.002895
2022-02-04,0.002434,0.004612,-0.002776,0.001677,-0.008613,0.000159,0.002423,-0.002951,0.000454
2022-02-07,0.003799,0.010105,-0.004936,-0.003771,0.003899,0.000159,0.004002,-0.005239,-0.004168
2022-02-08,0.005293,0.013307,0.009937,0.009361,0.014131,0.000159,0.0065,0.003207,-0.005284
2022-02-09,-0.006942,-0.008024,0.007944,-0.013049,-0.015019,0.000159,-0.007717,0.005941,0.002069
2022-02-10,-0.004083,-0.009861,-0.008884,-0.00047,-0.002228,0.000159,-0.005265,-0.004704,0.003104
2022-02-11,0.000833,0.004055,-0.010916,0.000115,0.003466,0.000159,-4.2e-05,-0.005656,-0.000949
2022-02-14,-0.007129,-0.004355,-0.014466,-0.008891,-0.014163,0.000159,-0.008357,-0.002897,-0.002803
2022-02-15,0.017172,0.025713,0.029479,0.021639,0.014922,0.000159,0.018082,0.0038,-0.0022
2022-02-16,0.012436,0.018894,0.006589,0.008343,-0.000914,0.000159,0.013516,-0.001067,-0.004094
2022-02-17,-0.001999,-0.009751,-0.003297,-0.000501,-0.011292,0.000159,-0.001902,-0.00419,0.002897
2022-02-18,0.01145,0.016367,0.011876,0.005186,0.005935,0.000159,0.012268,-0.000943,0.000927
2022-02-21,0.001478,-0.003994,0.015845,-0.00613,0.009817,0.000159,0.001427,0.006667,0.000867
2022-02-22,0.003069,0.001243,-0.000618,0.006261,-0.002903,0.000159,0.002835,-0.003116,-0.002416
2022-02-23,0.008946,0.014221,0.003619,0.003036,0.010594,0.000159,0.008521,-0.003794,-0.004215
2022-02-24,0.000201,-0.002527,0.004386,0.000487,0.010254,0.000159,-0.000206,0.005834,0.00308
2022-02-25,0.008241,0.010509,0.01277,0.006341,0.008544,0.000159,0.006844,0.000562,-0.000398
2022-02-28,0.001321,0.012217,-0.006072,-0.007829,0.003016,0.000159,0.001374,0.001186,-0.004616
2022-03-01,0.006329,0.003598,0.006487,0.001026,0.004829,0.000159,0.006138,0.000953,7.4e-05
2022-03-02,-0.007442,-0.011844,-0.012158,-0.005401,-0.011163,0.000159,-0.007005,-0.002174,0.002731
2022-03-03,-0.004075,-0.011726,-0.009309,-0.006458,0.005469,0.000159,-0.004159,-0.001664,0.001362
2022-03-04,0.008548,0.005553,0.008365,0.004891,0.001301,0.000159,0.008259,0.004968,0.001809
2022-03-07,0.005334,0.009054,0.008924,0.002685,0.006173,0.000159,0.004478,-0.000192,-0.002951
2022-03-08,0.001328,0.003958,0.01089,0.008716,0.000162,0.000159,0.001227,0.00254,-0.002847
2022-03-09,0.008687,0.006776,0.004211,0.003342,0.001861,0.000159,0.009119,-0.003748,-0.000511
2022-03-10,-0.006812,0.001092,-0.000614,-0.006954,-0.001671,0.000159,-0.007885,0.003163,-0.003912
2022-03-11,-0.012142,-0.016478,-0.022941,-0.003687,-0.001885,0.000159,-0.012231,-0.008851,0.001637
2022-03-14,-0.014747,-0.017828,-0.017053,-0.008572,-0.0148,0.000159,-0.014719,-0.001108,0.001703
2022-03-15,0.001543,-0.003399,-0.008093,0.006582,-0.004913,0.000159,0.00081,-0.001431,-0.0054
2022-03-16,0.015136,0.018945,0.028572,0.025542,0.027065,0.000159,0.014507,0.007021,-0.003139
2022-03-17,0.006531,0.01187,0.012051,-0.004112,-0.010086,0.000159,0.006557,0.002175,-0.002919
2022-03-18,-0.002159,-0.001949,0.008851,-0.006395,0.000138,0.000159,-0.003225,0.004269,0.002926
2022-03-21,0.004049,0.004608,-0.005508,0.003815,-0.006771,0.000159,0.00417,-0.002982,-0.002384
2022-03-22,-0.004482,-0.000962,-0.010433,-0.001977,-0.012393,0.000159,-0.005357,-0.004627,-0.001082
2022-03-23,-0.000617,-0.00685,0.012275,0.002215,0.004608,0.000159,7.5e-05,0.010139,0.005483
2022-03-24,-0.000667,0.002965,-0.003744,-0.004192,-0.019482,0.000159,0.001044,0.002328,-0.004079
2022-03-25,-0.013994,-0.017791,-0.009612,-0.007445,0.001117,0.000159,-0.014842,0.002705,0.002307
2022-03-28,-0.000815,-0.000159,-0.006149,-0.010808,-0.013684,0.000159,-0.000547,-0.00269,-0.001867
2022-03-29,0.016428,0.027713,0.016003,0.007984,0.017838,0.000159,0.015688,0.001849,-0.005523
2022-03-30,-0.009454,-0.018294,-0.003511,0.004285,-0.000799,0.000159,-0.00878,0.005161,0.00193
2022-03-31,-0.005781,-0.011344,-0.005362,-0.00961,-0.006232,0.000159,-0.006952,-0.001403,0.000761
2022-04-01,-0.00187,0.001287,0.001372,-0.0066,0.003011,0.000159,-0.001644,0.000568,0.004181
2022-04-04,-0.015459,-0.015777,-0.020619,-0.023948,-0.017708,0.000159,-0.016316,-0.005225,0.001816
2022-04-05,0.002867,-0.004849,0.003225,-0.004488,0.001749,0.000159,0.002543,0.000997,0.00529
2022-04-06,-0.007774,-0.012334,-0.001479,-0.010756,0.005603,0.000159,-0.008757,0.004481,0.002808
2022-04-07,-0.023081,-0.029289,-0.019496,-0.020565,-0.020585,0.000159,-0.022581,-0.000907,-0.000729
2022-04-08,0.011494,0.012181,0.008181,0.005904,0.005886,0.000159,0.010666,-0.002567,0.000515
2022-04-11,0.003153,0.002964,0.010454,0.002195,-0.002171,0.000159,0.003436,0.000956,0.002221
2022-04-12,-0.017373,-0.012927,-0.014874,-0.014221,-0.031146,0.000159,-0.017807,-0.000549,-0.003485
2022-04-13,0.002638,0.009201,0.003546,-0.000735,0.018534,0.000159,0.002388,0.001556,-0.000694
2022-04-14,0.002128,-0.001406,0.007157,-0.002418,-0.000711,0.000159,0.002087,0.001047,0.002822
2022-04-15,0.00495,0.003734,0.003542,-0.001604,0.006194,0.000159,0.004182,-0.001306,0.00419
2022-04-18,0.007591,0.015782,0.010735,0.017923,-0.000564,0.000159,0.007601,-0.001683,-0.004112
2022-04-19,-0.016498,-0.019852,-0.014549,-0.018659,-0.011508,0.000159,-0.015432,0.001348,-0.000854
2022-04-20,0.001439,0.003185,-0.003753,0.002894,0.011443,0.000159,0.000658,-0.002685,-0.001422
2022-04-21,0.015535,0.018299,0.015202,0.01787,0.024213,0.000159,0.016314,-0.001625,0.001765
2022-04-22,-0.001101,-0.009513,0.004025,4.4e-05,-0.009577,0.000159,-6.1e-05,0.002185,-0.000292
2022-04-25,-0.00279,-0.010207,-0.004957,-0.004499,-0.003945,0.000159,-0.003602,-0.000723,-0.00117
2022-04-26,-0.001794,0.003677,-0.00292,-0.007029,-0.000487,0.000159,-0.003117,-0.002193,-0.00201
2022-04-27,0.000532,4.2e-05,-0.003054,-0.003474,-0.005231,0.000159,0.000615,-0.004746,-0.000689
2022-04-28,-0.006372,-0.000218,-0.02361,-0.002673,-0.025427,0.000159,-0.006969,-0.005008,-0.002446
2022-04-29,-0.002856,-0.007313,-0.010446,0.005296,0.006102,0.000159,-0.001519,-0.005062,0.003674
2022-05-02,0.007256,0.011045,-0.00067,0.007729,0.000458,0.000159,0.007125,-0.004156,-0.002621
2022-05-03,0.007154,0.014689,-0.000472,0.007328,0.001937,0.000159,0.006354,-0.001791,-0.00676
2022-05-04,0.003498,0.003097,0.001037,0.008582,-0.007624,0.000159,0.002422,0.005828,0.00425
2022-05-05,-0.014388,-0.008612,-0.028527,-0.005268,-0.016912,0.000159,-0.013675,-0.009558,-0.004305
2022-05-06,-0.004777,-0.00016,-0.004226,-0.002712,-0.004608,0.000159,-0.005392,0.001175,-0.003965
2022-05-09,0.003324,0.007329,0.004233,0.001111,0.003738,0.000159,0.0032,-0.00096,0.000605
