Date,SPY,TLT,GLD,QQQ,IWM,EFA,AGG,VNQ
2022-01-03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2022-01-04,99.594,100.6449,99.6611,99.3024,99.7177,98.5841,99.9034,99.005
2022-01-05,98.6756,101.2714,98.8504,97.5142,99.7149,97.8897,100.0996,97.4721
2022-01-06,98.2047,101.5607,97.8124,97.1415,98.7964,97.2066,100.0891,98.1392
2022-01-07,98.2314,100.6154,98.4005,96.5694,99.0507,96.2099,99.565,98.1379
2022-01-10,98.9598,100.5278,98.3776,97.3156,98.8143,96.1495,99.4839,99.1298
2022-01-11,99.3225,98.8418,98.4161,97.526,98.8261,96.6921,99.1493,100.0625
2022-01-12,98.5703,98.8515,98.647,97.0957,97.8098,95.9749,98.9221,98.32
2022-01-13,99.3706,99.7835,98.8636,98.5878,98.7443,96.2679,99.3014,100.1576
2022-01-14,99.3765,101.1907,96.7495,99.0517,98.5997,95.9588,99.8127,98.5327
2022-01-17,99.2089,101.5923,98.1376,98.616,97.9908,95.5205,100.002,98.5812
2022-01-18,98.7493,102.2414,98.3055,98.5554,97.0796,94.9031,100.09,96.9076
2022-01-19,99.0666,102.3844,98.3866,98.8465,96.4914,94.7107,100.0721,96.2621
2022-01-20,98.9544,102.8136,100.1797,98.8174,96.6213,94.7251,99.8432,96.2293
2022-01-21,99.0506,105.0529,100.4394,99.1646,96.5829,94.1289,100.6696,96.8414
2022-01-24,99.8346,103.9327,101.6447,99.4211,97.8117,96.0465,100.233,97.4938
2022-01-25,99.969,103.4388,100.1279,99.6148,97.2106,96.1705,99.993,98.3824
2022-01-26,99.2652,103.418,100.8092,98.156,96.7502,96.4335,99.6975,98.1118
2022-01-27,99.55,104.0543,99.8224,97.8948,97.2655,96.7984,99.9878,98.753
2022-01-28,98.9467,104.5109,100.1197,96.8438,97.8702,96.8748,99.9297,99.1572
2022-01-31,98.07,105.5879,101.2977,95.4382,97.6667,96.6246,100.3027,100.2214
2022-02-01,97.8807,104.9722,100.3457,94.8191,97.4256,96.6024,100.191,100.6432
2022-02-02,97.9319,106.3318,100.3662,96.2025,97.7694,96.2434,100.4229,100.9696
2022-02-03,97.7632,107.0928,100.9349,95.9967,97.0685,95.1788,100.5166,101.1545
2022-02-04,98.0011,105.8357,100.9154,96.4394,96.7991,95.3385,100.1682,100.2833
2022-02-07,98.3734,106.2444,102.0572,97.414,96.3213,94.979,100.3196,100.6743
2022-02-08,98.8941,109.7115,103.3013,98.7102,97.2784,95.8681,101.2877,102.0969
2022-02-09,98.2076,109.7688,102.7802,97.9182,98.0512,94.6171,101.4008,100.5635
2022-02-10,97.8066,111.0113,103.0271,96.9526,97.1801,94.5726,101.6065,100.3394
